"Day No","Period No","Teacher Code","Precedes","Session No","Session Name","Session Code","Unavailable"
"5","2","HAR","False","1","After Period 2 Day 5","R","True"
"5","4","HAR","False","1","After Period 4 Day 5","L1","True"
"5","5","HAR","True","1","Before Period 5 Day 5","L2","True"
"5","6","HAR","False","1","After Period 6 Day 5","AS","True"
"6","1","HAR","True","1","Before Period 1 Day 6","BS","True"
"6","2","HAR","False","1","After Period 2 Day 6","R","True"
"6","4","HAR","False","1","After Period 4 Day 6","L1","True"
"6","5","HAR","True","1","Before Period 5 Day 6","L2","True"
"6","6","HAR","False","1","After Period 6 Day 6","AS","True"
"7","1","HAR","True","1","Before Period 1 Day 7","BS","True"
"7","2","HAR","False","1","After Period 2 Day 7","R","True"
"7","4","HAR","False","1","After Period 4 Day 7","L1","True"
"7","5","HAR","True","1","Before Period 5 Day 7","L2","True"
"7","6","HAR","False","1","After Period 6 Day 7","AS","True"
"8","1","HAR","True","1","Before Period 1 Day 8","BS","True"
"8","2","HAR","False","1","After Period 2 Day 8","R","True"
"8","4","HAR","False","1","After Period 4 Day 8","L1","True"
"8","5","HAR","True","1","Before Period 5 Day 8","L2","True"
"8","6","HAR","False","1","After Period 6 Day 8","AS","True"
"9","1","HAR","True","1","Before Period 1 Day 9","BS","True"
"9","2","HAR","False","1","After Period 2 Day 9","R","True"
"9","4","HAR","False","1","After Period 4 Day 9","L1","True"
"9","5","HAR","True","1","Before Period 5 Day 9","L2","True"
"9","6","HAR","False","1","After Period 6 Day 9","AS","True"
"10","1","HAR","True","1","Before Period 1 Day 10","BS","True"
"10","2","HAR","False","1","After Period 2 Day 10","R","True"
"10","4","HAR","False","1","After Period 4 Day 10","L1","True"
"10","5","HAR","True","1","Before Period 5 Day 10","L2","True"
"10","6","HAR","False","1","After Period 6 Day 10","AS","True"
"1","2","HES","False","1","AfterPeriod2Day1","R","True"
"1","4","HES","False","1","AfterPeriod4Day1","L1","True"
"1","5","HES","True","1","BeforePeriod5Day1","L2","True"
"1","1","HES","True","1","Before Period1 Day 1","BS","True"
"1","6","HES","False","1","AfterPeriod6Day1","AS","True"
"2","1","HES","True","1","Before Period 1 Day 2","BS","True"
"2","2","HES","False","1","After Period 2 Day 2","R","True"
"2","4","HES","False","1","After Period 4 Day 2","L1","True"
"2","5","HES","True","1","Before Period 5 Day 2","L2","True"
"2","6","HES","False","1","After Period 6 Day 2","AS","True"
"3","1","HES","True","1","Before Period 1 Day 3","BS","True"
"3","2","HES","False","1","After Period 2 Day 3","R","True"
"3","4","HES","False","1","After Period 4 Day 3","L1","True"
"3","5","HES","True","1","Before Period 5 Day 3","L2","True"
"3","6","HES","False","1","After Period 6 Day 3","AS","True"
"4","1","HES","True","1","Before Period 1 Day 4","BS","True"
"4","2","HES","False","1","After Period 2 Day 4","R","True"
"4","4","HES","False","1","After Period 4 Day 4","L1","True"
"4","5","HES","True","1","Before Period 5 Day 4","L2","True"
"4","6","HES","False","1","After Period 6 Day 4","AS","True"
"5","1","HES","True","1","Before Period 1 Day 5","BS","True"
"5","2","HES","False","1","After Period 2 Day 5","R","True"
"5","4","HES","False","1","After Period 4 Day 5","L1","True"
"5","5","HES","True","1","Before Period 5 Day 5","L2","True"
"5","6","HES","False","1","After Period 6 Day 5","AS","True"
"6","1","HES","True","1","Before Period 1 Day 6","BS","True"
"6","2","HES","False","1","After Period 2 Day 6","R","True"
"6","4","HES","False","1","After Period 4 Day 6","L1","True"
"6","5","HES","True","1","Before Period 5 Day 6","L2","True"
"6","6","HES","False","1","After Period 6 Day 6","AS","True"
"7","1","HES","True","1","Before Period 1 Day 7","BS","True"
"7","2","HES","False","1","After Period 2 Day 7","R","True"
"7","4","HES","False","1","After Period 4 Day 7","L1","True"
"7","5","HES","True","1","Before Period 5 Day 7","L2","True"
"7","6","HES","False","1","After Period 6 Day 7","AS","True"
"8","1","HES","True","1","Before Period 1 Day 8","BS","True"
"8","2","HES","False","1","After Period 2 Day 8","R","True"
"8","4","HES","False","1","After Period 4 Day 8","L1","True"
"8","5","HES","True","1","Before Period 5 Day 8","L2","True"
"8","6","HES","False","1","After Period 6 Day 8","AS","True"
"9","1","HES","True","1","Before Period 1 Day 9","BS","True"
"9","2","HES","False","1","After Period 2 Day 9","R","True"
"9","4","HES","False","1","After Period 4 Day 9","L1","True"
"9","5","HES","True","1","Before Period 5 Day 9","L2","True"
"9","6","HES","False","1","After Period 6 Day 9","AS","True"
"10","1","HES","True","1","Before Period 1 Day 10","BS","True"
"10","2","HES","False","1","After Period 2 Day 10","R","True"
"10","4","HES","False","1","After Period 4 Day 10","L1","True"
"10","5","HES","True","1","Before Period 5 Day 10","L2","True"
"10","6","HES","False","1","After Period 6 Day 10","AS","True"
"1","2","JUR","False","1","AfterPeriod2Day1","R","True"
"1","4","JUR","False","1","AfterPeriod4Day1","L1","True"
"1","5","JUR","True","1","BeforePeriod5Day1","L2","True"
"1","1","JUR","True","1","Before Period1 Day 1","BS","True"
"1","6","JUR","False","1","AfterPeriod6Day1","AS","True"
"2","1","JUR","True","1","Before Period 1 Day 2","BS","True"
"2","2","JUR","False","1","After Period 2 Day 2","R","True"
"2","4","JUR","False","1","After Period 4 Day 2","L1","True"
"2","5","JUR","True","1","Before Period 5 Day 2","L2","True"
"2","6","JUR","False","1","After Period 6 Day 2","AS","True"
"3","1","JUR","True","1","Before Period 1 Day 3","BS","True"
"3","2","JUR","False","1","After Period 2 Day 3","R","True"
"3","4","JUR","False","1","After Period 4 Day 3","L1","True"
"3","5","JUR","True","1","Before Period 5 Day 3","L2","True"
"3","6","JUR","False","1","After Period 6 Day 3","AS","True"
"4","1","JUR","True","1","Before Period 1 Day 4","BS","True"
"4","2","JUR","False","1","After Period 2 Day 4","R","True"
"4","4","JUR","False","1","After Period 4 Day 4","L1","True"
"4","5","JUR","True","1","Before Period 5 Day 4","L2","True"
"4","6","JUR","False","1","After Period 6 Day 4","AS","True"
"5","1","JUR","True","1","Before Period 1 Day 5","BS","True"
"5","2","JUR","False","1","After Period 2 Day 5","R","True"
"5","4","JUR","False","1","After Period 4 Day 5","L1","True"
"5","5","JUR","True","1","Before Period 5 Day 5","L2","True"
"5","6","JUR","False","1","After Period 6 Day 5","AS","True"
"6","1","JUR","True","1","Before Period 1 Day 6","BS","True"
"6","2","JUR","False","1","After Period 2 Day 6","R","True"
"6","4","JUR","False","1","After Period 4 Day 6","L1","True"
"6","5","JUR","True","1","Before Period 5 Day 6","L2","True"
"6","6","JUR","False","1","After Period 6 Day 6","AS","True"
"7","1","JUR","True","1","Before Period 1 Day 7","BS","True"
"7","2","JUR","False","1","After Period 2 Day 7","R","True"
"7","4","JUR","False","1","After Period 4 Day 7","L1","True"
"7","5","JUR","True","1","Before Period 5 Day 7","L2","True"
"7","6","JUR","False","1","After Period 6 Day 7","AS","True"
"8","1","JUR","True","1","Before Period 1 Day 8","BS","True"
"8","2","JUR","False","1","After Period 2 Day 8","R","True"
"8","4","JUR","False","1","After Period 4 Day 8","L1","True"
"8","5","JUR","True","1","Before Period 5 Day 8","L2","True"
"8","6","JUR","False","1","After Period 6 Day 8","AS","True"
"9","1","JUR","True","1","Before Period 1 Day 9","BS","True"
"9","2","JUR","False","1","After Period 2 Day 9","R","True"
"9","4","JUR","False","1","After Period 4 Day 9","L1","True"
"9","5","JUR","True","1","Before Period 5 Day 9","L2","True"
"9","6","JUR","False","1","After Period 6 Day 9","AS","True"
"10","1","JUR","True","1","Before Period 1 Day 10","BS","True"
"10","2","JUR","False","1","After Period 2 Day 10","R","True"
"10","4","JUR","False","1","After Period 4 Day 10","L1","True"
"10","5","JUR","True","1","Before Period 5 Day 10","L2","True"
"10","6","JUR","False","1","After Period 6 Day 10","AS","True"
"1","2","KUZ","False","1","AfterPeriod2Day1","R","True"
"1","4","KUZ","False","1","AfterPeriod4Day1","L1","True"
"1","5","KUZ","True","1","BeforePeriod5Day1","L2","True"
"1","1","KUZ","True","1","Before Period1 Day 1","BS","True"
"1","6","KUZ","False","1","AfterPeriod6Day1","AS","True"
"2","1","KUZ","True","1","Before Period 1 Day 2","BS","True"
"2","2","KUZ","False","1","After Period 2 Day 2","R","True"
"2","4","KUZ","False","1","After Period 4 Day 2","L1","True"
"2","5","KUZ","True","1","Before Period 5 Day 2","L2","True"
"2","6","KUZ","False","1","After Period 6 Day 2","AS","True"
"3","1","KUZ","True","1","Before Period 1 Day 3","BS","True"
"3","2","KUZ","False","1","After Period 2 Day 3","R","True"
"3","4","KUZ","False","1","After Period 4 Day 3","L1","True"
"3","5","KUZ","True","1","Before Period 5 Day 3","L2","True"
"3","6","KUZ","False","1","After Period 6 Day 3","AS","True"
"4","1","KUZ","True","1","Before Period 1 Day 4","BS","True"
"4","2","KUZ","False","1","After Period 2 Day 4","R","True"
"4","4","KUZ","False","1","After Period 4 Day 4","L1","True"
"4","5","KUZ","True","1","Before Period 5 Day 4","L2","True"
"4","6","KUZ","False","1","After Period 6 Day 4","AS","True"
"5","1","KUZ","True","1","Before Period 1 Day 5","BS","True"
"5","2","KUZ","False","1","After Period 2 Day 5","R","True"
"5","4","KUZ","False","1","After Period 4 Day 5","L1","True"
"5","5","KUZ","True","1","Before Period 5 Day 5","L2","True"
"5","6","KUZ","False","1","After Period 6 Day 5","AS","True"
"6","1","KUZ","True","1","Before Period 1 Day 6","BS","True"
"6","2","KUZ","False","1","After Period 2 Day 6","R","True"
"6","4","KUZ","False","1","After Period 4 Day 6","L1","True"
"6","5","KUZ","True","1","Before Period 5 Day 6","L2","True"
"6","6","KUZ","False","1","After Period 6 Day 6","AS","True"
"7","1","KUZ","True","1","Before Period 1 Day 7","BS","True"
"7","2","KUZ","False","1","After Period 2 Day 7","R","True"
"7","4","KUZ","False","1","After Period 4 Day 7","L1","True"
"7","5","KUZ","True","1","Before Period 5 Day 7","L2","True"
"7","6","KUZ","False","1","After Period 6 Day 7","AS","True"
"8","1","KUZ","True","1","Before Period 1 Day 8","BS","True"
"8","2","KUZ","False","1","After Period 2 Day 8","R","True"
"8","4","KUZ","False","1","After Period 4 Day 8","L1","True"
"8","5","KUZ","True","1","Before Period 5 Day 8","L2","True"
"8","6","KUZ","False","1","After Period 6 Day 8","AS","True"
"9","1","KUZ","True","1","Before Period 1 Day 9","BS","True"
"9","2","KUZ","False","1","After Period 2 Day 9","R","True"
"9","4","KUZ","False","1","After Period 4 Day 9","L1","True"
"9","5","KUZ","True","1","Before Period 5 Day 9","L2","True"
"9","6","KUZ","False","1","After Period 6 Day 9","AS","True"
"10","1","KUZ","True","1","Before Period 1 Day 10","BS","True"
"10","2","KUZ","False","1","After Period 2 Day 10","R","True"
"10","4","KUZ","False","1","After Period 4 Day 10","L1","True"
"10","5","KUZ","True","1","Before Period 5 Day 10","L2","True"
"10","6","KUZ","False","1","After Period 6 Day 10","AS","True"
"1","2","LEE","False","1","AfterPeriod2Day1","R","True"
"1","4","LEE","False","1","AfterPeriod4Day1","L1","True"
"1","5","LEE","True","1","BeforePeriod5Day1","L2","True"
"1","1","LEE","True","1","Before Period1 Day 1","BS","True"
"1","6","LEE","False","1","AfterPeriod6Day1","AS","True"
"2","1","LEE","True","1","Before Period 1 Day 2","BS","True"
"2","2","LEE","False","1","After Period 2 Day 2","R","True"
"2","4","LEE","False","1","After Period 4 Day 2","L1","True"
"2","5","LEE","True","1","Before Period 5 Day 2","L2","True"
"2","6","LEE","False","1","After Period 6 Day 2","AS","True"
"3","1","LEE","True","1","Before Period 1 Day 3","BS","True"
