"Roll Class Code","Roll Class Block","ColourCode","Periods","Doubles","Triples","Quadruples","Load","Class Code","Class Name","Class Suffix","Teacher Code","Faculty Code","Room Code","Site No","Row No","ClassGroupGuid","RollClassGuid","TeacherGuid","FacultyGuid","RoomGuid","ClassNameGuid"
"12","A","15","9","2","0","0","1.00","1PED121","Physical Education Unit 3 VCE1","1","KNK","","SC3","1","6","{882B0406-6BAC-4F31-B159-A7D37CA9DE6C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{1F09A348-2416-4056-BD7C-208E535CD227}","","{E610ABD1-0D8C-4FD3-B188-79FFF7E97209}","{14871FBB-54F8-4288-A6D2-28684AB5054D}"
"12","B","16","9","2","0","0","1.00","1ENG122","English Unit 3 VCE2","2","ALL","","SC1","1","1","{131F60AC-7592-4B07-921C-1001C5429A71}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{B779FAD7-B226-4549-97F4-15E6022B2232}","","{A05AEBD4-BF47-45CC-A714-2A1357636469}","{1F049F95-DFD7-4DE8-9F7E-7B7AB95A1155}"
"12","B","16","9","2","0","0","1.00","1BUS122","Business Management Unit 3 VCE2","2","CDS","","R14","1","2","{131F60AC-7592-4B07-921C-1001C5429A71}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{DB00DEA4-0EE4-4B76-BD57-BD2C938F82F3}","","{EEDE2752-43C4-4F54-8ED4-56F6F3008466}","{32DFCD10-4578-4DD8-94F6-2B3C4808FFA1}"
"12","B","16","9","2","0","0","1.00","1FST122","Food Studies Unit 3 VCE2","2","HOP","","T8","1","3","{131F60AC-7592-4B07-921C-1001C5429A71}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{3FF650E7-1855-4BB3-9A51-05B6326CAE73}","","{4195E065-1B91-4B64-9719-57DCA4BC1208}","{C60A775B-4AE0-4766-9D44-ABF0556C270B}"
"12","B","16","9","2","0","0","1.00","1MAM122","Mathematical Methods Unit 3 VCE2","2","STY","","SC5","1","4","{131F60AC-7592-4B07-921C-1001C5429A71}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{561BBEC4-67AC-4426-91B4-DF10EA8D4093}","","{BAE55C66-916A-49E3-9543-7043DE7BE607}","{7D04DE9B-90F0-4EA9-8971-341D7904DBE7}"
"12","B","16","9","2","0","0","1.00","1MUS122","Music Performance Unit 3 VCE2","2","MAR","","PA6","1","5","{131F60AC-7592-4B07-921C-1001C5429A71}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{41B179B0-40FC-4775-892B-160A1B443EFB}","","{32962BBE-C0FA-4FE3-8757-D2143134B670}","{2385F2F9-1152-4FD0-AA24-2AE80791768D}"
"12","B","16","9","2","0","0","1.00","1PSY122","Psychology Unit 3 VCE2","2","MRE","","SC7","1","6","{131F60AC-7592-4B07-921C-1001C5429A71}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{FE9412D1-8BB0-4803-9623-B3ED7080EBBE}","","{23BF3753-F584-4992-AA10-D69C8F37A0D9}","{822B5B94-B530-4C76-BC47-70D6405CB7F5}"
"12","C","17","9","2","0","0","1.00","1ENG123","English Unit 3 VCE3","3","VOU","","SC1","1","1","{64D0FE18-3E39-462F-8AEE-D094A8292A3C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{D7EB2A28-2089-44B1-B14E-338E0AC487E3}","","{A05AEBD4-BF47-45CC-A714-2A1357636469}","{4CC702D1-3B24-436E-994D-A15E66417755}"
"12","C","17","9","2","0","0","1.00","1AME123","Art Making and Exhibiting Unit 3 VCE3","3","FEJ","","T4","1","2","{64D0FE18-3E39-462F-8AEE-D094A8292A3C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{40AD2993-D198-472C-996E-80E1EE35B8B3}","","{7043F727-0439-41CB-9036-72B31B65387F}","{B7F068C0-EA0E-4E27-BA36-146723E5D1BC}"
"12","C","17","9","2","0","0","1.00","1BIO123","Biology Unit 3 VCE3","3","WAN","","S2","1","3","{64D0FE18-3E39-462F-8AEE-D094A8292A3C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{BA55FEAD-3CEA-4238-8566-277753E52271}","","{33B5E2FE-C2CB-405C-9EEA-09D1383A41A4}","{142FD663-83D0-4329-A3F4-335E55EA5A85}"
"12","C","17","9","2","0","0","1.00","1BUS123","Business Management Unit 3 VCE3","3","CNM","","R14","1","4","{64D0FE18-3E39-462F-8AEE-D094A8292A3C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{3B6AF5DE-9CB3-4643-8ABC-BB75DDF26E6F}","","{EEDE2752-43C4-4F54-8ED4-56F6F3008466}","{1DC4E960-BA22-41FC-A0A2-B698D086144A}"
"12","C","17","9","2","0","0","1.00","1CHM123","Chemistry Unit 3 VCE3","3","HOY","","S1","1","5","{64D0FE18-3E39-462F-8AEE-D094A8292A3C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{F8D3DB52-F315-4CA7-ABA4-649249D8B40E}","","{E8C0DBB7-7AE2-4215-9884-2F7224082549}","{1B9930E9-1438-4B0F-A75D-85088031D457}"
"12","C","17","9","2","0","0","1.00","1HHD123","Health and Human Dev'ment Unit 3 VCE3","3","SMA","","SC4","1","6","{64D0FE18-3E39-462F-8AEE-D094A8292A3C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{154265BE-27BD-455B-9C38-D18B83000A2A}","","{C685EFCE-E49F-4802-8C40-A526D0B2885D}","{3C038D55-E914-46E1-A734-36A6877E65B3}"
"12","D","18","8","2","0","0","1.00","1ENG124","English Unit 3 VCE4","4","HIN","","SC1","1","1","{D1C8C904-BF9A-42B0-9D81-0E389BDC27E9}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{352C7037-98BA-4002-A0B7-5AFEA9BB8CEC}","","{A05AEBD4-BF47-45CC-A714-2A1357636469}","{D33F0FE1-1242-49FF-9405-506A275781BA}"
"12","D","18","8","2","0","0","1.00","1LEG124","Legal Studies Unit 3 VCE4","4","ZHK","","R14","1","2","{D1C8C904-BF9A-42B0-9D81-0E389BDC27E9}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{4D507753-099A-450C-A812-D87CACEB29A1}","","{EEDE2752-43C4-4F54-8ED4-56F6F3008466}","{01A0EC90-D8C8-4083-A94A-DC1EFE5A642F}"
"12","D","18","8","2","0","0","1.00","1MAG124","General Mathematics Unit 3 VCE4","4","OSH","","R10","1","3","{D1C8C904-BF9A-42B0-9D81-0E389BDC27E9}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{CD139A28-5AC9-432E-B869-6500D242B328}","","{96800A09-CC87-4E2A-8872-AE1107C05E0E}","{60676CA7-DA24-4B74-8A50-8BB7329DC242}"
"12","D","18","8","2","0","0","1.00","1PED124","Physical Education Unit 3 VCE4","4","SAN","","SC4","1","4","{D1C8C904-BF9A-42B0-9D81-0E389BDC27E9}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{56812F21-6BD0-4521-ADA1-903B05E60ED8}","","{C685EFCE-E49F-4802-8C40-A526D0B2885D}","{F80F945F-9D35-46AA-B4B7-5993C8B1D0B7}"
"12","D","18","8","2","0","0","1.00","1PHY124","Physics Unit 3 VCE4","4","RIG","","S3","1","5","{D1C8C904-BF9A-42B0-9D81-0E389BDC27E9}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{9332A614-DF91-49BD-B906-2483EC98BCBF}","","{FCE0E0C5-EBC5-4578-8AED-4913C13BDED5}","{E07F601B-0C82-4D23-8C05-70D711E09E77}"
"12","D","18","8","2","0","0","1.00","1PSY124","Psychology Unit 3 VCE4","4","MRE","","SC7","1","6","{D1C8C904-BF9A-42B0-9D81-0E389BDC27E9}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{FE9412D1-8BB0-4803-9623-B3ED7080EBBE}","","{23BF3753-F584-4992-AA10-D69C8F37A0D9}","{F9709FAC-EA73-463E-91F6-F34928D41833}"
"12","D","18","8","2","0","0","1.00","1VCD124","Visual Com & Design Unit 3 VCE4","4","SCO","","PA1","1","7","{D1C8C904-BF9A-42B0-9D81-0E389BDC27E9}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{FD96B827-3789-4AFF-89D0-76165BAECE52}","","{1AAEDC09-351A-4AA2-8D15-D2460EF4CA98}","{B58B9806-6351-452A-81A5-544461590756}"
"12","E","18","1","0","0","0","1.00","1ENG124","English Unit 3 VCE4","4","HIN","","SC1","1","1","{6FF38F8E-C1BA-47D2-8C41-C222D5403DAB}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{352C7037-98BA-4002-A0B7-5AFEA9BB8CEC}","","{A05AEBD4-BF47-45CC-A714-2A1357636469}","{D33F0FE1-1242-49FF-9405-506A275781BA}"
"12","E","18","1","0","0","0","1.00","1LEG124","Legal Studies Unit 3 VCE4","4","ZHK","","R14","1","2","{6FF38F8E-C1BA-47D2-8C41-C222D5403DAB}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{4D507753-099A-450C-A812-D87CACEB29A1}","","{EEDE2752-43C4-4F54-8ED4-56F6F3008466}","{01A0EC90-D8C8-4083-A94A-DC1EFE5A642F}"
"12","E","18","1","0","0","0","1.00","1MAG124","General Mathematics Unit 3 VCE4","4","OSH","","R10","1","3","{6FF38F8E-C1BA-47D2-8C41-C222D5403DAB}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{CD139A28-5AC9-432E-B869-6500D242B328}","","{96800A09-CC87-4E2A-8872-AE1107C05E0E}","{60676CA7-DA24-4B74-8A50-8BB7329DC242}"
"12","E","18","1","0","0","0","1.00","1PED124","Physical Education Unit 3 VCE4","4","SAN","","SC4","1","4","{6FF38F8E-C1BA-47D2-8C41-C222D5403DAB}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{56812F21-6BD0-4521-ADA1-903B05E60ED8}","","{C685EFCE-E49F-4802-8C40-A526D0B2885D}","{F80F945F-9D35-46AA-B4B7-5993C8B1D0B7}"
"12","E","18","1","0","0","0","1.00","1PHY124","Physics Unit 3 VCE4","4","RIG","","S3","1","5","{6FF38F8E-C1BA-47D2-8C41-C222D5403DAB}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{9332A614-DF91-49BD-B906-2483EC98BCBF}","","{FCE0E0C5-EBC5-4578-8AED-4913C13BDED5}","{E07F601B-0C82-4D23-8C05-70D711E09E77}"
"12","E","18","1","0","0","0","1.00","1PSY124","Psychology Unit 3 VCE4","4","MRE","","SC7","1","6","{6FF38F8E-C1BA-47D2-8C41-C222D5403DAB}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{FE9412D1-8BB0-4803-9623-B3ED7080EBBE}","","{23BF3753-F584-4992-AA10-D69C8F37A0D9}","{F9709FAC-EA73-463E-91F6-F34928D41833}"
"12","E","18","1","0","0","0","1.00","1VCD124","Visual Com & Design Unit 3 VCE4","4","SCO","","PA1","1","7","{6FF38F8E-C1BA-47D2-8C41-C222D5403DAB}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{FD96B827-3789-4AFF-89D0-76165BAECE52}","","{1AAEDC09-351A-4AA2-8D15-D2460EF4CA98}","{B58B9806-6351-452A-81A5-544461590756}"
"12","F","19","9","2","0","0","1.00","1ENG125","English Unit 3 VCE5","5","ALL","","SC1","1","1","{598A81E6-950D-4837-A3DF-E8CCEA3F3674}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{B779FAD7-B226-4549-97F4-15E6022B2232}","","{A05AEBD4-BF47-45CC-A714-2A1357636469}","{E84F404E-DD5D-4BA1-B676-A470BD76890D}"
"12","F","19","9","2","0","0","1.00","1EAL125","English as an Additional Lang. Unit 3 VCE5","5","WIL","","SC3","1","2","{598A81E6-950D-4837-A3DF-E8CCEA3F3674}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{9FE813AC-C499-495A-8B08-7FEE6C0ACC05}","","{E610ABD1-0D8C-4FD3-B188-79FFF7E97209}","{5DF57CC1-1B0C-4B3D-A16B-CC2D0645E233}"
"12","F","19","9","2","0","0","1.00","1ACC125","Accounting Unit 3 VCE5","5","CNM","","R15","1","3","{598A81E6-950D-4837-A3DF-E8CCEA3F3674}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{3B6AF5DE-9CB3-4643-8ABC-BB75DDF26E6F}","","{3C1FC079-CC73-4730-A6D3-339EF2ED5943}","{7A89CA5F-8D97-4C97-84AE-BDAFFC769ECE}"
"12","F","19","9","2","0","0","1.00","1HIS125","History Unit 3 VCE5","5","YOU","","SC8","1","4","{598A81E6-950D-4837-A3DF-E8CCEA3F3674}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{1D342E8D-9F31-47BE-983A-84C9C23F0419}","","{B31EB292-858F-46C4-89D4-41585CAD588E}","{3B6B2F1A-3144-40FD-BD24-8F034E933A97}"
"12","F","19","9","2","0","0","1.00","1LEG125","Legal Studies Unit 3 VCE5","5","ZHK","","R14","1","5","{598A81E6-950D-4837-A3DF-E8CCEA3F3674}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{4D507753-099A-450C-A812-D87CACEB29A1}","","{EEDE2752-43C4-4F54-8ED4-56F6F3008466}","{62D7AD9A-B327-45B5-8BC0-F1A1CAB2D52E}"
"12","F","19","9","2","0","0","1.00","1MAG125","General Mathematics Unit 3 VCE5","5","PEL","","R10","1","6","{598A81E6-950D-4837-A3DF-E8CCEA3F3674}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{9A879E6D-03DE-4E6B-B9CF-5DCE9067BB1D}","","{96800A09-CC87-4E2A-8872-AE1107C05E0E}","{ECBEE799-E88A-42DE-AA8E-B3E0A4E2BAC4}"
"12","F","19","9","2","0","0","1.00","1MAM125","Mathematical Methods Unit 3 VCE5","5","HLE","","SC5","1","7","{598A81E6-950D-4837-A3DF-E8CCEA3F3674}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{06BDEDF9-1790-4533-A679-A047DDC6BEDE}","","{BAE55C66-916A-49E3-9543-7043DE7BE607}","{5ACBF466-742F-4E5E-8BD0-589B72F2D719}"
"12","G","23","6","2","0","0","1.00","1ENG126","English Unit 3 VCE6","6","OBR","","SC1","1","1","{44488D76-B2CB-407F-AB17-D4AE42DED1BA}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{43FF0F89-9D3B-484B-ABAC-37167FF34678}","","{A05AEBD4-BF47-45CC-A714-2A1357636469}","{2D057F10-8A5B-4CCE-9DA8-98083A9828F2}"
"12","G","23","6","2","0","0","1.00","1HHD126","Health and Human Dev'ment Unit 3 VCE6","6","BML","","SC4","1","2","{44488D76-B2CB-407F-AB17-D4AE42DED1BA}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{806DEB6D-03BE-4619-A0D8-FC88706529B3}","","{C685EFCE-E49F-4802-8C40-A526D0B2885D}","{F5259F22-6031-4A36-9C64-0B1B23588E89}"
"12","G","23","6","2","0","0","1.00","1MAG126","General Mathematics Unit 3 VCE6","6","OSH","","R10","1","3","{44488D76-B2CB-407F-AB17-D4AE42DED1BA}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{CD139A28-5AC9-432E-B869-6500D242B328}","","{96800A09-CC87-4E2A-8872-AE1107C05E0E}","{3E0DEE4F-A1CE-4DC1-AF16-453B2C2C7F39}"
"12","G","23","6","2","0","0","1.00","1MAS126","Specialist Mathematics Unit 3 VCE6","6","STY","","SC5","1","4","{44488D76-B2CB-407F-AB17-D4AE42DED1BA}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{561BBEC4-67AC-4426-91B4-DF10EA8D4093}","","{BAE55C66-916A-49E3-9543-7043DE7BE607}","{807234A2-6CD0-4FD7-B984-4F8F9D1FDEB1}"
"12","G","23","6","2","0","0","1.00","1MED126","Media Unit 3 VCE6","6","GAM","","PA2","1","5","{44488D76-B2CB-407F-AB17-D4AE42DED1BA}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{16514A4B-8F47-451F-A8B4-B146F5DEE338}","","{4AB93CA4-ADB2-4B43-BCBA-A740592A67CD}","{00974783-74C4-4CDC-8A87-607C30ADA56C}"
"12","G","23","6","2","0","0","1.00","1WTD126","Design Technology Wood Unit 3 VCE6","6","MIR","","T5","1","6","{44488D76-B2CB-407F-AB17-D4AE42DED1BA}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{0BAFB222-49D6-481A-B018-8CA786E66FEC}","","{1BD8D620-DC15-4ECF-9813-2F78C527BD51}","{FAC0DA4B-A2A1-4301-9CA4-3FD6ACCA7524}"
"12","H","23","1","0","0","0","1.00","1ENG126","English Unit 3 VCE6","6","OBR","","SC1","1","1","{8427AB40-4037-495F-8022-54879FFCA7B4}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{43FF0F89-9D3B-484B-ABAC-37167FF34678}","","{A05AEBD4-BF47-45CC-A714-2A1357636469}","{2D057F10-8A5B-4CCE-9DA8-98083A9828F2}"
"12","H","23","1","0","0","0","1.00","1HHD126","Health and Human Dev'ment Unit 3 VCE6","6","BML","","SC4","1","2","{8427AB40-4037-495F-8022-54879FFCA7B4}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{806DEB6D-03BE-4619-A0D8-FC88706529B3}","","{C685EFCE-E49F-4802-8C40-A526D0B2885D}","{F5259F22-6031-4A36-9C64-0B1B23588E89}"
"12","H","23","1","0","0","0","1.00","1MAG126","General Mathematics Unit 3 VCE6","6","OSH","","R10","1","3","{8427AB40-4037-495F-8022-54879FFCA7B4}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{CD139A28-5AC9-432E-B869-6500D242B328}","","{96800A09-CC87-4E2A-8872-AE1107C05E0E}","{3E0DEE4F-A1CE-4DC1-AF16-453B2C2C7F39}"
"12","H","23","1","0","0","0","1.00","1MAS126","Specialist Mathematics Unit 3 VCE6","6","STY","","SC5","1","4","{8427AB40-4037-495F-8022-54879FFCA7B4}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{561BBEC4-67AC-4426-91B4-DF10EA8D4093}","","{BAE55C66-916A-49E3-9543-7043DE7BE607}","{807234A2-6CD0-4FD7-B984-4F8F9D1FDEB1}"
"12","H","23","1","0","0","0","1.00","1MED126","Media Unit 3 VCE6","6","GAM","","PA2","1","5","{8427AB40-4037-495F-8022-54879FFCA7B4}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{16514A4B-8F47-451F-A8B4-B146F5DEE338}","","{4AB93CA4-ADB2-4B43-BCBA-A740592A67CD}","{00974783-74C4-4CDC-8A87-607C30ADA56C}"
